,idx,ex_num,bar_num,g_num,RE,true
1,12,30,8,2,16.125,3
2,6,30,3,2,0.0,2
3,4,30,10,4,7.399999999999992,3
4,13,30,7,2,1.4,0
5,16,30,8,1,1126.2857142857142,1
6,19,30,9,4,0.5555555555555587,2
7,5,30,3,2,0.0,0
8,15,30,4,4,0.0,1
9,8,30,10,1,627.0,1
10,2,30,5,2,4.555555555555554,3
11,3,30,5,3,0.0,0
12,11,30,6,4,0.25,3
13,14,30,6,1,9.399999999999999,2
14,17,30,5,3,0.0,1
15,20,30,5,4,0.0,0
16,9,30,10,3,3.875,2
17,7,30,10,7,0.0,0
18,1,30,4,4,0.0,1
19,10,30,10,1,24.296296296296283,1
20,18,30,8,2,2.777777777777775,3
