,idx,ex_num,bar_num,g_num,RE,true
1,9,43,3,1,20.25,0
2,14,43,6,1,9.399999999999999,3
3,6,43,7,1,175.86111111111097,1
4,3,43,8,8,0.0,3
5,7,43,10,3,5.0972222222222205,3
6,4,43,7,6,0.0,2
7,18,43,5,1,66.0,3
8,1,43,6,4,0.0,3
9,17,43,6,1,60.60000000000005,1
10,19,43,3,1,1.0,0
11,8,43,8,7,0.0,3
12,20,43,10,9,0.0,3
13,13,43,5,3,0.0,0
14,16,43,8,2,48.79999999999999,2
15,11,43,3,1,100.0,2
16,12,43,9,7,0.25,1
17,15,43,6,1,4.0,3
18,5,43,9,3,1.111111111111108,3
19,10,43,8,5,0.0,1
20,2,43,5,2,4.555555555555554,1
