,idx,ex_num,bar_num,g_num,RE,true
1,15,23,10,7,0.0,0
2,12,23,7,7,0.0,0
3,13,23,8,1,263.57142857142856,1
4,16,23,9,8,0.0,1
5,11,23,8,3,3.138888888888886,1
6,17,23,5,1,33.0,1
7,2,23,7,2,26.800000000000004,1
8,18,23,5,1,66.0,2
9,8,23,9,6,0.0,3
10,5,23,6,3,0.555555555555554,0
11,4,23,4,4,0.0,1
12,19,23,10,1,136.185185185185,1
13,6,23,4,4,0.0,3
14,9,23,10,1,315.4074074074073,1
15,7,23,4,4,0.0,3
16,14,23,10,1,22.629629629629644,1
17,20,23,5,4,0.0,2
18,1,23,4,4,0.0,2
19,3,23,10,1,0.5707407407407455,1
20,10,23,10,6,0.0,2
